id;name;slogan;region;image;image_content_type
1;Nigeria;Frozen Borders;Gabon holistic;../fake-data/blob/hipster.png;image/png
2;Global Concrete;heuristic;Hat;../fake-data/blob/hipster.png;image/png
3;Bedfordshire Generic;Group portals;cutting-edge action-items;../fake-data/blob/hipster.png;image/png
4;Nevada;Home Pennsylvania;Towels moratorium Ball;../fake-data/blob/hipster.png;image/png
5;Rubber;Lesotho parsing;solid state Small Wooden Bike;../fake-data/blob/hipster.png;image/png
6;navigate;Architect invoice;Function-based Handmade Wooden Salad;../fake-data/blob/hipster.png;image/png
7;back up;Pants;Cross-platform Computers Sleek;../fake-data/blob/hipster.png;image/png
8;Chips;Integration support;Buckinghamshire Branding;../fake-data/blob/hipster.png;image/png
9;Bypass;invoice International Accountability;Villages withdrawal;../fake-data/blob/hipster.png;image/png
10;Polarised generating well-modulated;Checking Account;transmitting Auto Loan Account;../fake-data/blob/hipster.png;image/png
